===============================================================================
Id,000001.XSHE,len,datetime,open,high,low,close,volume,openinterest,000001.XSHE,len,datetime,open,high,low,close,volume,openinterest,RSIMACDMultiTF,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,000001.XSHE,000001.XSHE
61,000001.XSHE,61,2018-04-03 23:59:59.999989,1226.59,1234.69,1216.18,1221.96,769769.0,0.0,000001.XSHE,61,2018-04-03 23:59:59.999989,1226.59,1234.69,1216.18,1221.96,769769.0,0.0,RSIMACDMultiTF,61,736787.9999999999,Broker,61,927095.0,927095.0,BuySell,61,,,BuySell,61,,,DataTrades,61,,
62,000001.XSHE,62,2018-04-04 23:59:59.999989,1235.85,1274.03,1226.59,1257.83,1384846.0,0.0,000001.XSHE,62,2018-04-04 23:59:59.999989,1235.85,1274.03,1226.59,1257.83,1384846.0,0.0,RSIMACDMultiTF,62,736788.9999999999,Broker,62,927095.0,927095.0,BuySell,62,,,BuySell,62,,,DataTrades,62,,
63,000001.XSHE,63,2018-04-09 23:59:59.999989,1249.73,1284.45,1241.63,1275.19,928822.0,0.0,000001.XSHE,63,2018-04-09 23:59:59.999989,1249.73,1284.45,1241.63,1275.19,928822.0,0.0,RSIMACDMultiTF,63,736793.9999999999,Broker,63,927095.0,927095.0,BuySell,63,,,BuySell,63,,,DataTrades,63,,
64,000001.XSHE,64,2018-04-10 23:59:59.999989,1275.19,1326.11,1269.4,1321.48,1202038.0,0.0,000001.XSHE,64,2018-04-10 23:59:59.999989,1275.19,1326.11,1269.4,1321.48,1202038.0,0.0,RSIMACDMultiTF,64,736794.9999999999,Broker,64,927095.0,927095.0,BuySell,64,,,BuySell,64,,,DataTrades,64,,
65,000001.XSHE,65,2018-04-11 23:59:59.999989,1318.01,1379.33,1316.85,1368.92,1811306.0,0.0,000001.XSHE,65,2018-04-11 23:59:59.999989,1318.01,1379.33,1316.85,1368.92,1811306.0,0.0,RSIMACDMultiTF,65,736795.9999999999,Broker,65,4488.0,962732.0,BuySell,65,1297.0972499999998,,BuySell,65,,,DataTrades,65,,
66,000001.XSHE,66,2018-04-12 23:59:59.999989,1365.45,1368.92,1321.48,1333.05,1013799.0,0.0,000001.XSHE,66,2018-04-12 23:59:59.999989,1365.45,1368.92,1321.48,1333.05,1013799.0,0.0,RSIMACDMultiTF,66,736796.9999999999,Broker,66,4488.0,937623.0,BuySell,66,,,BuySell,66,,,DataTrades,66,,
67,000001.XSHE,67,2018-04-13 23:59:59.999989,1346.93,1364.29,1324.95,1338.83,1123661.0,0.0,000001.XSHE,67,2018-04-13 23:59:59.999989,1346.93,1364.29,1324.95,1338.83,1123661.0,0.0,RSIMACDMultiTF,67,736797.9999999999,Broker,67,4488.0,941669.0,BuySell,67,,,BuySell,67,,,DataTrades,67,,
68,000001.XSHE,68,2018-04-16 23:59:59.999989,1327.26,1327.26,1276.35,1284.45,1233255.0,0.0,000001.XSHE,68,2018-04-16 23:59:59.999989,1327.26,1327.26,1276.35,1284.45,1233255.0,0.0,RSIMACDMultiTF,68,736800.9999999999,Broker,68,914819.8000000002,914819.8000000002,BuySell,68,,1347.1689,BuySell,68,,,DataTrades,68,-12275.19999999988,
69,000001.XSHE,69,2018-04-17 23:59:59.999989,1286.76,1324.95,1285.6,1297.18,1125075.0,0.0,000001.XSHE,69,2018-04-17 23:59:59.999989,1286.76,1324.95,1285.6,1297.18,1125075.0,0.0,RSIMACDMultiTF,69,736801.9999999999,Broker,69,914819.8000000002,914819.8000000002,BuySell,69,,,BuySell,69,,,DataTrades,69,,
70,000001.XSHE,70,2018-04-18 23:59:59.999989,1324.95,1343.46,1305.28,1330.73,1275403.0,0.0,000001.XSHE,70,2018-04-18 23:59:59.999989,1324.95,1343.46,1305.28,1330.73,1275403.0,0.0,RSIMACDMultiTF,70,736802.9999999999,Broker,70,914819.8000000002,914819.8000000002,BuySell,70,,,BuySell,70,,,DataTrades,70,,
71,000001.XSHE,71,2018-04-19 23:59:59.999989,1333.05,1352.72,1321.48,1327.26,733807.0,0.0,000001.XSHE,71,2018-04-19 23:59:59.999989,1333.05,1352.72,1321.48,1327.26,733807.0,0.0,RSIMACDMultiTF,71,736803.9999999999,Broker,71,914819.8000000002,914819.8000000002,BuySell,71,,,BuySell,71,,,DataTrades,71,,
72,000001.XSHE,72,2018-04-20 23:59:59.999989,1331.89,1339.99,1296.02,1313.38,828486.0,0.0,000001.XSHE,72,2018-04-20 23:59:59.999989,1331.89,1339.99,1296.02,1313.38,828486.0,0.0,RSIMACDMultiTF,72,736804.9999999999,Broker,72,914819.8000000002,914819.8000000002,BuySell,72,,,BuySell,72,,,DataTrades,72,,
