===============================================================================
Id,000012.XSHE,len,datetime,open,high,low,close,volume,openinterest,,len,datetime,open,high,low,close,volume,openinterest,PivotMultiTF,len,datetime,LinesCoupler_6,len,p,s1,s2,r1,r2,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,000012.XSHE,
368,000012.XSHE,368,2019-07-09 23:59:59.999989,130.33,132.24,130.33,131.6,125404.0,0.0,,18,2019-06-28 23:59:59.999989,132.62,135.76,122.9,132.24,6258086.0,0.0,PivotMultiTF,368,737249.9999999999,LinesCoupler_6,368,130.29999999999998,124.83999999999997,117.44,137.69999999999996,143.15999999999997,Broker,368,1202921.25,1202921.25,BuySell,368,,,BuySell,18,,,DataTrades,368,,
369,000012.XSHE,369,2019-07-10 23:59:59.999989,131.92,132.56,130.33,130.33,166535.0,0.0,,18,2019-06-28 23:59:59.999989,132.62,135.76,122.9,132.24,6258086.0,0.0,PivotMultiTF,369,737250.9999999999,LinesCoupler_6,369,130.29999999999998,124.83999999999997,117.44,137.69999999999996,143.15999999999997,Broker,369,1202921.25,1202921.25,BuySell,369,,,BuySell,18,,,DataTrades,369,,
370,000012.XSHE,370,2019-07-11 23:59:59.999989,130.65,132.24,130.33,130.97,133318.0,0.0,,18,2019-06-28 23:59:59.999989,132.62,135.76,122.9,132.24,6258086.0,0.0,PivotMultiTF,370,737251.9999999999,LinesCoupler_6,370,130.29999999999998,124.83999999999997,117.44,137.69999999999996,143.15999999999997,Broker,370,1202921.25,1202921.25,BuySell,370,,,BuySell,18,,,DataTrades,370,,
371,000012.XSHE,371,2019-07-12 23:59:59.999989,130.97,132.56,130.97,131.92,159343.0,0.0,,18,2019-06-28 23:59:59.999989,132.62,135.76,122.9,132.24,6258086.0,0.0,PivotMultiTF,371,737252.9999999999,LinesCoupler_6,371,130.29999999999998,124.83999999999997,117.44,137.69999999999996,143.15999999999997,Broker,371,1202921.25,1202921.25,BuySell,371,,,BuySell,18,,,DataTrades,371,,
372,000012.XSHE,372,2019-07-15 23:59:59.999989,132.24,133.51,129.7,133.19,243815.0,0.0,,18,2019-06-28 23:59:59.999989,132.62,135.76,122.9,132.24,6258086.0,0.0,PivotMultiTF,372,737255.9999999999,LinesCoupler_6,372,130.29999999999998,124.83999999999997,117.44,137.69999999999996,143.15999999999997,Broker,372,1202921.25,1202921.25,BuySell,372,,,BuySell,18,,,DataTrades,372,,
373,000012.XSHE,373,2019-07-16 23:59:59.999989,133.19,134.46,132.87,134.15,189322.0,0.0,,18,2019-06-28 23:59:59.999989,132.62,135.76,122.9,132.24,6258086.0,0.0,PivotMultiTF,373,737256.9999999999,LinesCoupler_6,373,130.29999999999998,124.83999999999997,117.44,137.69999999999996,143.15999999999997,Broker,373,1202921.25,1202921.25,BuySell,373,,,BuySell,18,,,DataTrades,373,,
374,000012.XSHE,374,2019-07-17 23:59:59.999989,134.15,135.74,133.51,134.78,208428.0,0.0,,18,2019-06-28 23:59:59.999989,132.62,135.76,122.9,132.24,6258086.0,0.0,PivotMultiTF,374,737257.9999999999,LinesCoupler_6,374,130.29999999999998,124.83999999999997,117.44,137.69999999999996,143.15999999999997,Broker,374,1202921.25,1202921.25,BuySell,374,,,BuySell,18,,,DataTrades,374,,
375,000012.XSHE,375,2019-07-18 23:59:59.999989,133.83,134.15,132.24,132.24,187012.0,0.0,,18,2019-06-28 23:59:59.999989,132.62,135.76,122.9,132.24,6258086.0,0.0,PivotMultiTF,375,737258.9999999999,LinesCoupler_6,375,130.29999999999998,124.83999999999997,117.44,137.69999999999996,143.15999999999997,Broker,375,1202921.25,1202921.25,BuySell,375,,,BuySell,18,,,DataTrades,375,,
376,000012.XSHE,376,2019-07-19 23:59:59.999989,132.56,135.42,132.56,133.83,229989.0,0.0,,18,2019-06-28 23:59:59.999989,132.62,135.76,122.9,132.24,6258086.0,0.0,PivotMultiTF,376,737259.9999999999,LinesCoupler_6,376,130.29999999999998,124.83999999999997,117.44,137.69999999999996,143.15999999999997,Broker,376,1202921.25,1202921.25,BuySell,376,,,BuySell,18,,,DataTrades,376,,
377,000012.XSHE,377,2019-07-22 23:59:59.999989,135.42,135.42,131.28,131.92,233963.0,0.0,,18,2019-06-28 23:59:59.999989,132.62,135.76,122.9,132.24,6258086.0,0.0,PivotMultiTF,377,737262.9999999999,LinesCoupler_6,377,130.29999999999998,124.83999999999997,117.44,137.69999999999996,143.15999999999997,Broker,377,1202921.25,1202921.25,BuySell,377,,,BuySell,18,,,DataTrades,377,,
